given	gender
[adam?]	m
[catherine]	f
[martha	f
[price]	m
a	m
aaron	m
abel	m
abigail	f
abner	m
abos	m
abr:	m
abr.m	m
abra.h	m
abra.m	m
abrah.m	m
abraham	m
ada	f
adam	m
adam fife	m
adolph	m
adolphus	m
agnes	f
agnus	m
ailee	f
aken	m
akim	m
albert	m
albion	m
alex	m
alex.	m
alex.n	m
alex.ndr	m
alex.r	m
alexander	m
alexr	m
alfred	m
alice	f
allan	m
allen	m
allen w	m
allic	f
allison	f
ambroes	m
ambrose	m
amelia	f
amey	m
amey	f
amos	m
amy	f
anaball	f
ance	m
ancy	m
and.	m
and.w	m
andr.w	m
andrea	f
andrew	m
andw.	m
ange	f
angelina	f
angus	m
ann	f
ann moore	f
anna	f
anne	f
anne k.	f
annie	f
anora	f
ant. de	m
anth.y	m
anthoney	m
anthonia	m
anthony	m
anton	m
antonio	m
antony	m
aran	m
arch	m
archd	m
archebald	m
archer	m
archibald	m
aron	m
arthur	m
ashel	f
asher	m
atthur	m
augusta	f
augustus	m
aurther	m
austin	m
bal.th	m
banja	m
barb:	f
barbara	f
barbara, a	f
barbary	m
barhaw	m
barn.d	m
barnaby	m
barnard	m
barnd.	m
barnet	m
barnett	m
barney	m
barny	m
barrington	m
barth.	m
barth.w	m
bartho.	m
bartho.w	m
bartholomew	m
bath:oe	m
beatrice	f
ben	m
ben.	m
benaiah	m
benj	m
benj:	m
benj.	m
benj. henry	m
benj.n	m
benjamin	m
bennet	m
bernard	m
bert	m
bertie	m
bertram	m
berttia	f
betty	f
biddy	f
bince	m
bowes	m
brian	m
bride	m
bridget	f
bridgett	f
bridgit	f
briget	f
bryan	m
bryant	m
bryon	m
cadwallider	m
caesar	m
cain	m
calahan	m
caleb	m
callen	m
camillas	f
campbell	m
carl	m
caroline	f
carrol	f
carter	m
casand.	f
cashia	f
cath	f
cath.	f
cath.e	f
cath.ne	f
catharine	f
catharine smith	f
catherine	f
cecelia	f
cecil	m
cecilia	f
cha	m
cha.	m
cha.s	m
char.tte	f
charity	f
charl.e	m
charles	m
charlotta	f
charlotte	f
chas	m
chas.	m
cheltonham	m
chr.	m
chr.n	m
chr.r	m
chris.r	m
chrish	m
christ.	m
christ.n	m
christ.r	m
christian	m
christiana	f
christopher	m
chrles	m
clara	f
clarinda rogers	f
claude	m
clayton	m
clement	m
collin	m
colquhoun	m
condred	m
connell	m
conner	m
connor	m
cooper	m
corenlius o	m
corn.s	m
cornel.	m
cornel.s	m
cornelia	f
cornelius	m
corns.	m
courtney	f
craven	m
cristian	m
crudosius	m
cudabucas	m
cuthbert	m
cyril	m
dan	m
dan:	m
dan.	m
dan.l	m
daniel	m
danl	m
darby	m
darling	f
dav	m
dav.	m
dav.d	m
david	m
davy	m
deb.	f
debora	f
deborah	f
debra	f
denis	m
dennis	m
derby	m
diana	f
dianah	f
dinah	f
donald	m
dorah	f
dorcas	f
dorothy	f
douglas	m
dowrick	m
duke	m
duncan	m
ebenezer	m
ed.d	m
ed.d will.m	m
ed.wd	m
ed'd	m
edd	m
edgar	m
edin	m
edith	f
edm.	m
edm.d	m
edm.d frisby	m
