Tokens	Regularised	Category	Subjects	
The text to be recognised in the description. Each word or item of punctuation is a "token". Each token must be placed in quotes and separated by a comma. Square brackets must be placed around the finished expression. 	An optional, arbitrary string to denote equivalent terms. For example, there are lots of ways to write "marks of flogging". By giving all of these terms the same regularised form ("marks of flogging"), they are treated as interchangeable in the program code. At present, this column is not used. Even if it used in the future, it is optional. Please leave it blank unless you want to denote that several terms represent different ways of writing the same thing.	A category denoting the role which this term plays in the description. For example, "body specifier", "design" or "written words". Please see the second sheet for explanations of these categories.	A list of subjects which are considered relevant to this term. Used only for tattoo-related categories. For example, "love" or "nationalidentity". Subjects are always single words, run together if neccessary. Separate them with a space. For example "religion justicepunishment"	
				
["nil"]	nil	nil		
["none"]	nil	nil		
				
[","]	comma	separator		
[";"]	semicolon	separator		
["."]	full stop	separator		
[":"]	colon	separator		
				
["\""]	quote	quote		
				
[",", "and"]	and	and		
["and"]	and	and		
				
				
["etc"]	etc	etc		
["&c"]	etc	etc		



More new body terms

["axilla"]		body		
["bladder"]		body		
["calcaneus"]		body		
["condule"]		body		
["condyle"]		body		
["cranium"]		body		
["heel"]		body		
["ilium"]		body		
["internal"]		body		
["inward"]		body		
["liver"]		body		
["lumbar", "region"]		body		
["maxilla"]		body		
["occiput"]		body		
["olecranon"]		body		
["penis"]		body		
["rectum"]		body		
["sacrum"]		body		
["stump"]		body		
["temporal"]		body		
["tongue"]		body		
["ulna"]		body		
["urethra"]		body		
["uterus"]		body		
["vagina"]		body		
["womb"]		body		



The following terms added for the hospital records

["through", "foot"]		injury		
["laceration"]		injury		
["laceratd"]		injury		
["inury"]		injury		
["bite"]		injury		
["bitted"]		injury		
["strain"]		injury		
["strained"]		injury		
["spained"]		injury		
["spain"]		injury		
["luxated"]		injury		
["puncture"]		injury		
["puncture", "wound"]		injury		
["punctured"]		injury		
["shot"]		injury		
["gunshot"]		injury		
["gunshot", "wound"]		injury		
["concussion"]		injury		
["concussions"]		injury		
["concusison"]		injury		
["nail", "through"]		injury		
["nail", "in"]		injury		
["compound"]		injury		
["strangled"]		injury		
["swallowed", "a", "pin"]		injury		
["suffocation"]		injury		
["suffocated"]		injury		
["struck", "by", "lightening"]		injury		
["burned"]		injury		
["mortar", "in"]		injury		
["splintered"]		injury		
["shot", "in"]		injury		
["contuson"]		injury		
["drowned"]		injury		
["compression"]		injury		
["displaced"]		injury		
["limp"]		injury		
["kick"]		injury		
["stab", "wound"]		injury		
["hit"]		injury		
["flesh", "mark"]		injury		

["compound", "fractured"]		injury		
["compound", "fracture"]		injury		
["dislocation"]		injury		
["gun", "shot", "wound"]		injury		
["hurt", "by", "a", "fall"]		injury		
["killed", "by", "a", "fall"]		injury		
["frost", "bite"]		injury		

["scar", "from"]		injury		
["mark", "from"]		injury		
["scald", "scar", "from"]		injury		

["subluxation"]		injury		
["avulsion"]		injury		
["soft", "tissue", " injury  "]		injury		
["sharp", "force", " trauma  "]		injury		
["blunt", "force", " trauma"]		injury		

["amputation"]		injury		
["soft", "tissue", " trauma"]		injury		

["fracture", "with", "dislocation"]		injury		
["fractured", "with", "dislocation"]		injury		
["muscle", "injury"]		injury		

["burnt"]		injury		
["hurt", "his"]		injury		
["cut", "his"]		injury		

["femur"]		body		
["collarbone"]		body		
["pelvis"]		body		
["metacarpal"]		body		
["manual", "phalanx"]		body		
["metatarsal"]		body		
["nasal"]		body		
["vertebral"]		body		
["tibia"]		body		
["lower", "leg"]		body		
["sternum"]		body		
["chestbone"]		body		
["humerus"]		body		
["upper", "arm"]		body		
["perineum"]		body		
["testes"]		body		
["genitals"]		body		
["fingertip"]		body		

["by", "cat"]		cause		
["from", "bite"]		cause		

*** END OF NEW





["leg"]	leg	body	
["legs"]	legs	body		
["loins"]	loins	body		
["clavicle"]	clavicle	body		
["clavicles"]	clavicles	body		
["spine"]	clavicle	body		
["scrotum"]	scrotum	body		
["skull"]	skull	body		
["iliium"]	iliium	body		
["fibula"]	fibula	body		
["radius"]	radius	body		
["testicle"]	testicle	body		
["testicles"]	testicles	body		
["abdomen"]	abdomen	body		
["patella"]	patella	body		
["scapula"]	patella	body		
["thighs"]	thighs	body		
["pubis"]	pubis	body		
["private", "parts"]	private parts	body		
["privates"]	privates	body		

["side", "of"]	side	body specifier		
["side"]	side	body		
["sides"]	sides	body		

["bit"]	bitten	injury		
["bitten"]	bitten	injury		
["injury"]	injury	injury		
["hurt"]	hurt	injury		
["lacerated"]	lacerated	injury		
["lacerated", "wound"]	lacerated wound	injury		
["bruises"]	bruises	injury		
["bruised"]	bruised	injury		
["jammed"]	jammed	injury		
["scalded"]	scalded	injury		
["sprained"]	sprained	injury		
["accident"]	accident	injury		
["kicked"]	kicked	injury		
["wounded"]	wounded	injury		
["stabbed"]	stabbed	injury		
["internal", "injury"]	internal injury	injury		
["injury", "internal"]	internal injury	injury		
["internal", "bruise"]	internal bruise	injury		
["bruise", "internal"]	internal bruise	injury		
["inward", "injury"]	inward injury	injury		
["injury", "inward"]	inward injury	injury		
["inward", "bruise"]	inward bruise	injury		
["bruise", "inward"]	inward bruise	injury		
["sprain"]	sprain	injury		
["sprains"]	sprains	injury		
["scalds"]	sprain	injury		
["contused"]	contused	injury		
["contused", "wound"]	contused wound	injury		
["contusion"]	contusion	injury		
["contusions"]	contusions	injury		
["stab"]	stab	injury		
["inward", "complaint"]	inward complaint	injury		
["fracture"]	fracture	injury		
["fractures"]	fractures	injury		
["fractures", "&", "dislocations"]	fractures & dislocations	injury		
["fractures", "(sundry)"]	fractures (sundry)	injury		
["bruise"]	fracture	injury		
["needle", "in", "her"]	needle in her	injury		
["run", "over"]	run over	injury		

["wounds"]		injury		
["wounds", ","]		injury postscript		
["wounds", "."]		injury postscript		
["wounds", ";"]		injury postscript		

["amputated"]		injury		
["amputated", ","]		injury postscript		
["amputated", "."]		injury postscript		
["amputated", ";"]		injury postscript		

["by", "a", "dog"]	by a dog	cause		
["by", "a", "fall"]	by a fall	cause		
["by", "a", "boar"]	by a boar	cause		
["by", "a", "horse"]	by a horse	cause		
["by", "a", "musket", "ball"]	by a musket ball	cause		
["by", "a", "cart"]	by a cart	cause		
["cart", "accident"]	cart accident	cause		
["his", "cart"]	his cart	cause		
["a", "cart"]	a cart	cause		
["by", "a", "ball"]	by a cart	cause		
["from", "blows"]	from blows	cause		
["from", "blow"]	from blow	cause		
["from", "a", "fall"]	from a fall	cause		
["from", "a", "blow"]	from a blow	cause		
["gun", "shot"]	gun shot	cause		
["fall"]	fall	cause		



End of terms added for the hospital records








				
["scar"]	scar	injury		
["scars"]	scars	injury		
["burn"]	burn	injury		
["burns"]	burns	injury		
["burn", "scar"]	burn scar	injury		
["burn", "scars"]	burn scars	injury		
["burn", "mark"]	burn mark	injury		
["burn", "marks"]	burn marks	injury		
["cut"]	cut	injury		
["cuts"]	cuts	injury		
["wound"]	wound	injury		
["wound", "cut"]	wound cut	injury		
["scald"]	scald	injury		
["blind"]	blind	injury		
["defective"]	defective	injury		
["deformed"]	deformed	injury		
["scarred"]	scarred	injury		
["broken"]	broken	injury		
["defect"]	defect	injury		
["lost"]	lost	injury		
["missing"]	missing	injury		
["contracted"]	contracted	injury		
##["swelling"]	swelling	injury		
["lame"]	lame	injury		
["injured"]	injured	injury		
["ruptured"]	ruptured	injury		
["dislocated"]	dislocated	injury		
["disfigured"]	disfigured	injury		
["split"]	split	injury		
["fractured"]	fractured	injury		
##["lump"]	lump	injury		
["lumps"]	lumps	injury		
["cast"]	cast	injury		
["torn"]	torn	injury		

["blue", "cut"]	blue cut	injury
["blue", "mark"]	blue mark	injury
